time_index,datetime_utc,actual_gco2_per_kwh,forecast_gco2_per_kwh,index_label,index_code,horizon_second_start
0,2025-11-13T00:00:00+00:00,59.0,59.0,very low,0,0.0
1,2025-11-13T00:30:00+00:00,58.333333333333336,58.333333333333336,very low,0,1800.0
2,2025-11-13T01:00:00+00:00,56.611111111111114,56.611111111111114,very low,0,3600.0
3,2025-11-13T01:30:00+00:00,54.55555555555556,54.55555555555556,very low,0,5400.0
4,2025-11-13T02:00:00+00:00,52.44444444444444,52.44444444444444,very low,0,7200.0
5,2025-11-13T02:30:00+00:00,49.611111111111114,49.611111111111114,very low,0,9000.0
6,2025-11-13T03:00:00+00:00,49.05555555555556,49.05555555555556,very low,0,10800.0
7,2025-11-13T03:30:00+00:00,47.5,47.5,very low,0,12600.0
8,2025-11-13T04:00:00+00:00,51.5,51.5,very low,0,14400.0
9,2025-11-13T04:30:00+00:00,53.5,53.5,very low,0,16200.0
10,2025-11-13T05:00:00+00:00,55.111111111111114,55.111111111111114,very low,0,18000.0
11,2025-11-13T05:30:00+00:00,57.388888888888886,57.388888888888886,very low,0,19800.0
12,2025-11-13T06:00:00+00:00,64.05555555555556,64.05555555555556,low,1,21600.0
13,2025-11-13T06:30:00+00:00,67.38888888888889,67.38888888888889,low,1,23400.0
14,2025-11-13T07:00:00+00:00,74.11111111111111,74.11111111111111,low,1,25200.0
15,2025-11-13T07:30:00+00:00,80.61111111111111,80.61111111111111,low,1,27000.0
16,2025-11-13T08:00:00+00:00,79.27777777777777,79.27777777777777,low,1,28800.0
17,2025-11-13T08:30:00+00:00,76.94444444444444,76.94444444444444,low,1,30600.0
18,2025-11-13T09:00:00+00:00,76.77777777777777,76.77777777777777,low,1,32400.0
19,2025-11-13T09:30:00+00:00,75.88888888888889,75.88888888888889,low,1,34200.0
20,2025-11-13T10:00:00+00:00,77.55555555555556,77.55555555555556,low,1,36000.0
21,2025-11-13T10:30:00+00:00,80.83333333333333,80.83333333333333,very low,0,37800.0
22,2025-11-13T11:00:00+00:00,85.55555555555556,85.55555555555556,moderate,2,39600.0
23,2025-11-13T11:30:00+00:00,90.33333333333333,90.33333333333333,moderate,2,41400.0
24,2025-11-13T12:00:00+00:00,98.27777777777777,98.27777777777777,moderate,2,43200.0
25,2025-11-13T12:30:00+00:00,111.44444444444444,111.44444444444444,moderate,2,45000.0
26,2025-11-13T13:00:00+00:00,124.27777777777777,124.27777777777777,moderate,2,46800.0
27,2025-11-13T13:30:00+00:00,140.05555555555554,140.05555555555554,moderate,2,48600.0
28,2025-11-13T14:00:00+00:00,157.33333333333334,157.33333333333334,moderate,2,50400.0
29,2025-11-13T14:30:00+00:00,172.44444444444446,172.44444444444446,high,3,52200.0
30,2025-11-13T15:00:00+00:00,184.16666666666666,184.16666666666666,high,3,54000.0
31,2025-11-13T15:30:00+00:00,188.61111111111111,188.61111111111111,high,3,55800.0
32,2025-11-13T16:00:00+00:00,187.94444444444446,187.94444444444446,high,3,57600.0
33,2025-11-13T16:30:00+00:00,188.94444444444446,188.94444444444446,high,3,59400.0
34,2025-11-13T17:00:00+00:00,184.44444444444446,184.44444444444446,high,3,61200.0
35,2025-11-13T17:30:00+00:00,184.72222222222223,184.72222222222223,very high,4,63000.0
36,2025-11-13T18:00:00+00:00,181.72222222222223,181.72222222222223,very high,4,64800.0
37,2025-11-13T18:30:00+00:00,179.88888888888889,179.88888888888889,high,3,66600.0
38,2025-11-13T19:00:00+00:00,174.44444444444446,174.44444444444446,high,3,68400.0
39,2025-11-13T19:30:00+00:00,166.38888888888889,166.38888888888889,high,3,70200.0
40,2025-11-13T20:00:00+00:00,154.66666666666666,154.66666666666666,low,1,72000.0
41,2025-11-13T20:30:00+00:00,147.83333333333334,147.83333333333334,high,3,73800.0
42,2025-11-13T21:00:00+00:00,134.33333333333334,134.33333333333334,high,3,75600.0
43,2025-11-13T21:30:00+00:00,119.88888888888889,119.88888888888889,moderate,2,77400.0
44,2025-11-13T22:00:00+00:00,103.05555555555556,103.05555555555556,moderate,2,79200.0
45,2025-11-13T22:30:00+00:00,80.77777777777777,80.77777777777777,very low,0,81000.0
46,2025-11-13T23:00:00+00:00,75.55555555555556,75.55555555555556,very low,0,82800.0
47,2025-11-13T23:30:00+00:00,69.88888888888889,69.88888888888889,very low,0,84600.0
